,alpha,tstat
P1,-0.004238567697335938,-2.8404619120493355
P2,-0.0016907919546346338,-1.2438298628990427
P3,0.00039580564759757864,0.31000094203381634
P4,0.00037238081480587,0.3074464996790154
P5,0.0031006255815469925,2.499448348548893
P6,-0.003916420970522664,-2.931227997321148
P7,-0.0018327218014800746,-1.6188940898490494
P8,-0.0017138558823394901,-1.6175054211859277
P9,-0.0013035075449965492,-1.2426896131097493
P10,-0.00047899353819035745,-0.41159563112468944
P11,-0.0021370754865413927,-1.7047353009354906
P12,-0.0024358919387688156,-2.0373745250598265
P13,-0.0024897849458242333,-2.1776158610810175
P14,-0.002124719461090131,-1.8633941618429495
P15,-0.0011275053058693565,-0.9118181914741645
P16,-0.0006629868270274295,-0.5507814005774672
P17,-0.0020418342103043644,-1.7834761496583054
P18,-0.0026404392989893897,-2.2701608126278003
P19,-0.0023367849860207106,-1.9386118070672793
P20,-0.0018808660416541783,-1.5212751779475813
P21,-0.0006415842459779124,-0.780908811438081
P22,-0.0014062346640516753,-1.3783053650849808
P23,-0.0023369989900096253,-2.3444353639880857
P24,-0.0022539700883446364,-2.2278867179885884
P25,-0.002146520697174792,-1.820976021772017
